AMXL,GFNORTE,CEMEX,WALMEX,TLEVISA
Sube,Baja,Baja,Sube,Sube
Neutral,Baja,Baja,Sube,Sube
Sube,Baja,Sube,Sube,Baja
Baja,Sube,Baja,Sube,Baja
Sube,Baja,Baja,Baja,Sube
Sube,Sube,Baja,Sube,Sube
Sube,Baja,Baja,Baja,Baja
Sube,Baja,Sube,Sube,Sube
Sube,Baja,Baja,Baja,Baja
Sube,Sube,Sube,Sube,Sube
Baja,Sube,Baja,Baja,Baja
Sube,Baja,Sube,Baja,Sube
Sube,Sube,Baja,Baja,Sube
Baja,Baja,Sube,Sube,Baja
Sube,Sube,Sube,Sube,Sube
Baja,Baja,Baja,Baja,Baja
Baja,Sube,Sube,Sube,Sube
Baja,Sube,Neutral,Sube,Baja
Sube,Sube,Baja,Baja,Baja
Sube,Baja,Sube,Sube,Baja
Baja,Baja,Baja,Sube,Baja
Sube,Baja,Baja,Sube,Baja
Sube,Sube,Sube,Sube,Baja
Sube,Sube,Sube,Baja,Sube
Sube,Baja,Sube,Sube,Baja
Baja,Sube,Sube,Sube,Baja
Baja,Baja,Baja,Baja,Baja
Baja,Sube,Baja,Baja,Sube
Baja,Sube,Baja,Sube,Baja
Baja,Baja,Baja,Sube,Baja
Sube,Sube,Sube,Baja,Baja
Baja,Sube,Baja,Sube,Baja
Sube,Baja,Baja,Sube,Baja
Sube,Baja,Baja,Baja,Baja
Sube,Baja,Sube,Baja,Sube
Baja,Baja,Baja,Sube,Baja
Baja,Baja,Baja,Baja,Baja
Sube,Baja,Sube,Sube,Baja
Sube,Sube,Baja,Sube,Sube
Baja,Baja,Baja,Baja,Sube
Baja,Sube,Baja,Sube,Baja
Sube,Baja,Baja,Sube,Sube
Sube,Sube,Baja,Sube,Sube
Sube,Baja,Baja,Sube,Baja
Sube,Baja,Sube,Baja,Sube
Sube,Sube,Sube,Sube,Sube
Sube,Baja,Sube,Sube,Sube
Sube,Baja,Sube,Baja,Sube
Baja,Baja,Baja,Sube,Sube
Baja,Sube,Baja,Sube,Sube
Sube,Sube,Sube,Sube,Baja
Sube,Baja,Baja,Baja,Sube
Baja,Sube,Sube,Sube,Baja
Baja,Baja,Sube,Sube,Sube
Sube,Baja,Sube,Baja,Baja
Sube,Baja,Sube,Baja,Baja
Baja,Sube,Neutral,Sube,Baja
Sube,Sube,Baja,Sube,Baja
Baja,Sube,Baja,Sube,Baja
